path,subject,label,filename,feat_path,spec_path
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses38.m4a,session_38,-1,ses38.m4a,data\processed\ws3d\features\session_38\ses38.npy,data\processed\ws3d\spectrograms\session_38\ses38.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses39.m4a,session_39,-1,ses39.m4a,data\processed\ws3d\features\session_39\ses39.npy,data\processed\ws3d\spectrograms\session_39\ses39.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses40.m4a,session_40,-1,ses40.m4a,data\processed\ws3d\features\session_40\ses40.npy,data\processed\ws3d\spectrograms\session_40\ses40.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses41.m4a,session_41,-1,ses41.m4a,data\processed\ws3d\features\session_41\ses41.npy,data\processed\ws3d\spectrograms\session_41\ses41.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses42.m4a,session_42,-1,ses42.m4a,data\processed\ws3d\features\session_42\ses42.npy,data\processed\ws3d\spectrograms\session_42\ses42.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses43.m4a,session_43,-1,ses43.m4a,data\processed\ws3d\features\session_43\ses43.npy,data\processed\ws3d\spectrograms\session_43\ses43.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses44.m4a,session_44,-1,ses44.m4a,data\processed\ws3d\features\session_44\ses44.npy,data\processed\ws3d\spectrograms\session_44\ses44.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses45.m4a,session_45,-1,ses45.m4a,data\processed\ws3d\features\session_45\ses45.npy,data\processed\ws3d\spectrograms\session_45\ses45.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses46.m4a,session_46,-1,ses46.m4a,data\processed\ws3d\features\session_46\ses46.npy,data\processed\ws3d\spectrograms\session_46\ses46.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses47.m4a,session_47,-1,ses47.m4a,data\processed\ws3d\features\session_47\ses47.npy,data\processed\ws3d\spectrograms\session_47\ses47.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses48.m4a,session_48,-1,ses48.m4a,data\processed\ws3d\features\session_48\ses48.npy,data\processed\ws3d\spectrograms\session_48\ses48.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses49.m4a,session_49,-1,ses49.m4a,data\processed\ws3d\features\session_49\ses49.npy,data\processed\ws3d\spectrograms\session_49\ses49.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses50.m4a,session_50,-1,ses50.m4a,data\processed\ws3d\features\session_50\ses50.npy,data\processed\ws3d\spectrograms\session_50\ses50.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses51.m4a,session_51,-1,ses51.m4a,data\processed\ws3d\features\session_51\ses51.npy,data\processed\ws3d\spectrograms\session_51\ses51.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\ses52.m4a,session_52,-1,ses52.m4a,data\processed\ws3d\features\session_52\ses52.npy,data\processed\ws3d\spectrograms\session_52\ses52.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\test\ses_a03.wav,session__a03,-1,ses_a03.wav,data\processed\ws3d\features\session__a03\ses_a03.npy,data\processed\ws3d\spectrograms\session__a03\ses_a03.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\test\ses_a09.wav,session__a09,-1,ses_a09.wav,data\processed\ws3d\features\session__a09\ses_a09.npy,data\processed\ws3d\spectrograms\session__a09\ses_a09.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\test\ses_h07.wav,session__h07,-1,ses_h07.wav,data\processed\ws3d\features\session__h07\ses_h07.npy,data\processed\ws3d\spectrograms\session__h07\ses_h07.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\test\ses_n02.wav,session__n02,-1,ses_n02.wav,data\processed\ws3d\features\session__n02\ses_n02.npy,data\processed\ws3d\spectrograms\session__n02\ses_n02.npy
C:\Users\sb777\Documents\GitHub\ns-projekt-dsrs\data\raw\ws3d\AudioData\test\ses_n04.wav,session__n04,-1,ses_n04.wav,data\processed\ws3d\features\session__n04\ses_n04.npy,data\processed\ws3d\spectrograms\session__n04\ses_n04.npy
