file_id,emotion,label,mfcc_path,spec_path
OAF_back_angry,angry,1,data\processed\tess\features\OAF_back_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_back_angry_spec.npy
OAF_bar_angry,angry,1,data\processed\tess\features\OAF_bar_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_bar_angry_spec.npy
OAF_base_angry,angry,1,data\processed\tess\features\OAF_base_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_base_angry_spec.npy
OAF_bath_angry,angry,1,data\processed\tess\features\OAF_bath_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_bath_angry_spec.npy
OAF_bean_angry,angry,1,data\processed\tess\features\OAF_bean_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_bean_angry_spec.npy
OAF_beg_angry,angry,1,data\processed\tess\features\OAF_beg_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_beg_angry_spec.npy
OAF_bite_angry,angry,1,data\processed\tess\features\OAF_bite_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_bite_angry_spec.npy
OAF_boat_angry,angry,1,data\processed\tess\features\OAF_boat_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_boat_angry_spec.npy
OAF_bone_angry,angry,1,data\processed\tess\features\OAF_bone_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_bone_angry_spec.npy
OAF_book_angry,angry,1,data\processed\tess\features\OAF_book_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_book_angry_spec.npy
OAF_bought_angry,angry,1,data\processed\tess\features\OAF_bought_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_bought_angry_spec.npy
OAF_burn_angry,angry,1,data\processed\tess\features\OAF_burn_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_burn_angry_spec.npy
OAF_cab_angry,angry,1,data\processed\tess\features\OAF_cab_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_cab_angry_spec.npy
OAF_calm_angry,angry,1,data\processed\tess\features\OAF_calm_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_calm_angry_spec.npy
OAF_came_angry,angry,1,data\processed\tess\features\OAF_came_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_came_angry_spec.npy
OAF_cause_angry,angry,1,data\processed\tess\features\OAF_cause_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_cause_angry_spec.npy
OAF_chain_angry,angry,1,data\processed\tess\features\OAF_chain_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_chain_angry_spec.npy
OAF_chair_angry,angry,1,data\processed\tess\features\OAF_chair_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_chair_angry_spec.npy
OAF_chalk_angry,angry,1,data\processed\tess\features\OAF_chalk_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_chalk_angry_spec.npy
OAF_chat_angry,angry,1,data\processed\tess\features\OAF_chat_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_chat_angry_spec.npy
OAF_check_angry,angry,1,data\processed\tess\features\OAF_check_angry_mfcc.npy,data\processed\tess\spectrograms\OAF_check_angry_spec.npy
