eda,bvp,temp,x,y,z,emotion
0,-0.03,31.63,-13,-18,62,0
0.04,5.06,31.63,-15,-18,62,0
0.08,17.91,31.63,-14,-17,62,0
0.08,79.34,31.63,-16,-17,60,0
0.08,228.25,31.63,3,-12,63,0
0.08,-486.47,31.63,9,-3,72,0
0.08,-5.02,31.63,13,-2,69,0
0.09,160.09,31.63,4,-8,66,0
0.09,63.4,31.61,1,-9,65,0
0.09,35.3,31.61,3,-9,65,0
0.08,-22.52,31.61,1,-10,64,0
0.09,10.78,31.61,0,-10,64,0
0.08,79.85,31.59,-1,-10,64,0
0.09,157.88,31.59,-1,-10,64,0
0.09,61.42,31.59,0,-10,64,0
0.08,3.83,31.59,-1,-10,65,0
0.09,-3.45,31.57,4,-11,63,0
0.08,-7.97,31.57,0,-11,64,0
0.09,-12.42,31.57,-1,-11,64,0
0.09,-27.72,31.57,-1,-11,64,0
0.09,-116.2,31.57,-2,-11,64,0
0.09,-391.69,31.57,-3,-11,63,0
0.08,-67.77,31.57,-2,-11,64,0
0.08,32.32,31.57,-1,-13,63,0
0.08,55.27,31.55,-2,-11,64,0
0.09,16.29,31.55,-2,-11,64,0
0.09,-10.43,31.55,-1,-11,64,0
0.09,19.7,31.55,-2,-11,64,0
0.08,-35.76,31.51,-3,-11,64,0
0.09,60.46,31.51,-3,-12,63,0
0.08,38.33,31.51,-3,-12,64,0
0.08,4.61,31.51,-3,-12,64,0
0.08,22.61,31.49,-3,-12,64,0
0.08,-10.86,31.49,-3,-12,63,0
0.08,26.54,31.49,-3,-12,64,0
0.08,20.89,31.49,-2,-12,64,0
0.08,-18.3,31.51,-3,-12,64,0
0.09,14.75,31.51,-2,-12,63,0
0.08,-15.46,31.51,-2,-11,64,0
0.08,-21.16,31.51,-3,-12,64,0
0.08,22.43,31.49,-3,-12,63,0
0.08,-22.65,31.49,-3,-12,64,0
0.09,26.16,31.49,-3,-12,64,0
0.08,32.36,31.49,-2,-12,64,0
0.08,-48.79,31.47,-2,-12,64,0
0.08,36.69,31.47,-3,-12,63,0
0.08,-9.83,31.47,-3,-12,64,0
0.09,9.23,31.47,-3,-12,64,0
0.08,10.65,31.47,-3,-12,65,0
0.08,-48.85,31.47,-2,-12,65,0
0.08,39.32,31.47,-3,-12,64,0
0.08,16.22,31.47,-3,-12,64,0
0.08,-4.09,31.45,-4,-12,64,0
0.08,-42.65,31.45,-3,-12,64,0
0.08,-1.65,31.45,-2,-12,63,0
0.08,32.35,31.45,-2,-12,64,0
0.08,20.3,31.43,2,-12,64,0
0.08,-8.6,31.43,5,-13,64,0
0.08,48.98,31.43,5,-13,64,0
0.08,31.11,31.43,5,-14,63,0
0.08,-13.8,31.41,2,-13,63,0
0.08,105.04,31.41,3,-13,63,0
0.08,-22.06,31.41,2,-13,63,0
0.08,-47.62,31.41,1,-13,63,0
0.08,-49.14,31.39,0,-13,63,0
0.08,-11.81,31.39,-1,-13,63,0
0.08,23.8,31.39,0,-12,64,0
0.08,-26.33,31.39,-1,-13,64,0
0.09,-63.92,31.39,0,-13,64,0
0.09,50.41,31.39,0,-13,64,0
0.08,21.63,31.39,-1,-13,63,0
0.08,-4.56,31.39,0,-13,64,0
0.09,23.34,31.35,0,-13,63,0
0.09,-13.63,31.35,0,-13,63,0
0.08,24.6,31.35,0,-13,64,0
0.08,7.1,31.35,0,-12,63,0
0.09,-48.15,31.33,-1,-12,64,0
0.08,36.18,31.33,-1,-12,64,0
0.08,-7.49,31.33,-1,-12,63,0
0.08,-27.26,31.33,-1,-12,63,0
0.08,21.53,31.35,-1,-12,64,0
0.09,14.7,31.35,-1,-12,63,0
0.09,8.7,31.35,-1,-12,64,0
0.08,0.59,31.35,0,-12,64,0
0.09,-19.43,31.33,0,-13,64,0
0.08,35.01,31.33,0,-12,64,0
0.08,16.32,31.33,0,-12,64,0
0.08,-50.18,31.33,0,-12,64,0
0.08,29.95,31.33,0,-13,64,0
0.09,-9.84,31.33,0,-13,63,0
0.09,-7.04,31.33,-1,-13,63,0
0.09,21.86,31.33,0,-12,63,0
0.09,-28.68,31.31,-1,-13,63,0
0.09,21.67,31.31,0,-12,64,0
0.09,5.58,31.31,0,-13,64,0
0.09,-37.88,31.31,0,-12,64,0
0.09,53.72,31.29,0,-12,64,0
0.09,19.58,31.29,4,-11,65,0
0.09,-51.61,31.29,6,-12,65,0
0.09,17.82,31.29,-1,-15,67,0
0.08,-6.81,31.31,-6,-15,63,0
0.09,27.99,31.31,-8,-17,66,0
0.09,-133.47,31.31,-11,-16,60,0
0.09,-264.8,31.31,1,-17,58,0
0.09,167.77,31.27,-4,-19,64,0
0.09,71.07,31.27,-4,-19,62,0
0.09,-124.77,31.27,-4,-19,64,0
0.09,-74.28,31.27,-5,-19,63,0
0.09,261.12,31.27,-5,-21,62,0
0.09,113.23,31.27,-6,-20,62,0
0.09,18.93,31.27,-5,-21,60,0
0.09,-1.77,31.27,-6,-21,62,0
0.09,-12.17,31.23,-5,-21,62,0
0.09,-4.88,31.23,-5,-22,61,0
0.09,-14.09,31.23,-6,-22,61,0
0.09,0.53,31.23,-9,-20,62,0
0.09,2.03,31.25,-11,-21,61,0
0.09,-12.75,31.25,-11,-21,60,0
0.09,-5.83,31.25,-12,-22,61,0
0.09,-1.61,31.25,-12,-21,61,0
0.09,-10.73,31.25,-10,-22,61,0
0.09,4.67,31.25,-11,-22,61,0
0.09,-7.86,31.25,-10,-22,61,0
0.09,-6.18,31.25,-11,-21,61,0
0.09,1.93,31.25,-10,-22,60,0
0.09,-5.32,31.25,-11,-21,61,0
