C1,C2,C3,C4,C5,C6,Tarih
Nötr,Boş zaman,Aile Üyeleri,Hayır,Bilmiyorum,Evet,Tue Jan 19 2021 10:11:38 GMT+0300 (+03)
Gergin,Çalışma,Aile Üyeleri,Evet,Evet,Evet,Tue Jan 19 2021 12:01:03 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Hayır,Evet,Evet,Tue Jan 19 2021 15:01:27 GMT+0300 (+03)
Memnun,Çalışma,Kimse yok,Hayır,Hayır,Evet,Tue Jan 19 2021 17:00:45 GMT+0300 (+03)
Rahat,Boş zaman,Aile Üyeleri,Hayır,Hayır,Evet,Tue Jan 19 2021 19:04:22 GMT+0300 (+03)
Nötr,Boş zaman,Aile Üyeleri,Hayır,Evet,Evet,Wed Jan 20 2021 10:18:19 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Hayır,Hayır,Evet,Wed Jan 20 2021 12:01:33 GMT+0300 (+03)
Yorgun,Çalışma,Kimse yok,Hayır,Hayır,Bilmiyorum,Wed Jan 20 2021 15:01:15 GMT+0300 (+03)
Nötr,Boş zaman,Kimse yok,Hayır,Hayır,Evet,Wed Jan 20 2021 17:03:30 GMT+0300 (+03)
Rahat,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Wed Jan 20 2021 19:01:35 GMT+0300 (+03)
Rahat,Çalışma,Kimse yok,Hayır,Hayır,Evet,Wed Jan 20 2021 20:15:53 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Hayır,Evet,Thu Jan 21 2021 10:18:29 GMT+0300 (+03)
Rahat,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jan 21 2021 12:03:01 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Evet,Thu Jan 21 2021 16:14:07 GMT+0300 (+03)
Rahat,Sohbet,Arkadaşlar,Hayır,Hayır,Evet,Thu Jan 21 2021 17:58:35 GMT+0300 (+03)
Mutsuz,Müzik Dinlemek,Kimse yok,Evet,Hayır,Evet,Thu Jan 21 2021 19:07:02 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Hayır,Evet,Fri Jan 22 2021 12:06:18 GMT+0300 (+03)
Rahat,Temizlik,Kimse yok,Hayır,Hayır,Evet,Fri Jan 22 2021 12:46:00 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Hayır,Bilmiyorum,Evet,Fri Jan 22 2021 15:45:05 GMT+0300 (+03)
Nötr,Spor,Kimse yok,Hayır,Hayır,Evet,Fri Jan 22 2021 17:06:30 GMT+0300 (+03)
Mutsuz,Diğer,Aile Üyeleri,Hayır,Hayır,Evet,Fri Jan 22 2021 19:17:05 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Hayır,Hayır,Evet,Fri Jan 22 2021 21:16:40 GMT+0300 (+03)
Nötr,Boş zaman,Kimse yok,Hayır,Hayır,Evet,Sat Jan 23 2021 12:33:42 GMT+0300 (+03)
Nötr,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jan 23 2021 13:36:01 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Hayır,Hayır,Evet,Sat Jan 23 2021 17:02:31 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Evet,Sat Jan 23 2021 18:17:14 GMT+0300 (+03)
Yorgun,Çalışma,Kimse yok,Evet,Hayır,Bilmiyorum,Sat Jan 23 2021 19:19:19 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Bilmiyorum,Sat Jan 23 2021 23:07:25 GMT+0300 (+03)
Nötr,Boş zaman,Kimse yok,Hayır,Bilmiyorum,Evet,Sun Jan 24 2021 14:06:17 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Evet,Bilmiyorum,Evet,Sun Jan 24 2021 14:33:35 GMT+0300 (+03)
Nötr,Çalışma,Kimse yok,Hayır,Hayır,Evet,Sun Jan 24 2021 15:16:32 GMT+0300 (+03)
Rahat,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Sun Jan 24 2021 16:16:14 GMT+0300 (+03)
Nötr,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Sun Jan 24 2021 17:32:31 GMT+0300 (+03)
Diğer,Çalışma,Kimse yok,Bilmiyorum,Hayır,Evet,Sun Jan 24 2021 19:16:35 GMT+0300 (+03)
Kötü,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Tue Jan 26 2021 10:31:58 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Evet,Hayır,Hayır,Tue Jan 26 2021 12:31:04 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Tue Jan 26 2021 16:12:07 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Tue Jan 26 2021 17:27:26 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Tue Jan 26 2021 18:31:44 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Tue Jan 26 2021 19:26:19 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Tue Jan 26 2021 21:04:33 GMT+0300 (+03)
Enerjik,Çalışma,Arkadaşlar,Hayır,Hayır,Bilmiyorum,Wed Jan 27 2021 12:32:24 GMT+0300 (+03)
İyi,İş,Arkadaşlar,Hayır,Hayır,Evet,Wed Jan 27 2021 14:25:20 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Wed Jan 27 2021 19:39:15 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jan 28 2021 10:45:02 GMT+0300 (+03)
Mutlu,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Thu Jan 28 2021 12:44:46 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jan 28 2021 14:31:51 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Bilmiyorum,Hayır,Evet,Thu Jan 28 2021 20:02:11 GMT+0300 (+03)
İyi,Boş zaman,Kimse yok,Hayır,Hayır,Evet,Fri Jan 29 2021 10:34:08 GMT+0300 (+03)
Nötr,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Fri Jan 29 2021 12:03:12 GMT+0300 (+03)
Gergin,Dinlenme,Aile Üyeleri,Evet,Evet,Bilmiyorum,Fri Jan 29 2021 14:06:49 GMT+0300 (+03)
Heyecanlı,Yeme / İçme,Aile Üyeleri,Bilmiyorum,Hayır,Evet,Fri Jan 29 2021 16:04:08 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Fri Jan 29 2021 20:47:20 GMT+0300 (+03)
