C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Orta,Biraz fazla,Biraz fazla,Çok az,Orta,Orta,Orta,Orta,Hiç,Çok az
Orta,Biraz fazla,Çok,Orta,Biraz fazla,Hiç,Çok az,Biraz fazla,Hiç,Orta
Orta,Çok az,Biraz fazla,Orta,Çok,Çok az,Orta,Çok az,Hiç,Çok az
Çok az,Biraz fazla,Çok,Biraz fazla,Orta,Biraz fazla,Orta,Orta,Çok az,Biraz fazla
Çok,Biraz fazla,Biraz fazla,Çok,Biraz fazla,Orta,Orta,Çok az,Hiç,Hiç
Orta,Çok,Çok,Orta,Çok,Hiç,Çok az,Çok az,Hiç,Hiç
Orta,Biraz fazla,Biraz fazla,Biraz fazla,Orta,Orta,Orta,Çok az,Çok az,Biraz fazla
Biraz fazla,Biraz fazla,Biraz fazla,Orta,Biraz fazla,Çok az,Orta,Çok az,Çok az,Çok az
Orta,Biraz fazla,Orta,Çok az,Orta,Çok az,Biraz fazla,Orta,Hiç,Hiç
Orta,Biraz fazla,Çok az,Orta,Orta,Hiç,Orta,Çok az,Hiç,Hiç
Çok,,Çok,Hiç,Hiç,Çok,Biraz fazla,Çok,Biraz fazla,Çok az
Biraz fazla,Orta,Çok,Orta,Orta,Çok az,Çok az,Hiç,Hiç,Hiç
Orta,Biraz fazla,Orta,Çok az,Orta,Hiç,Orta,Orta,Çok az,Hiç
Orta,Orta,Çok,Çok az,Orta,Çok az,Çok az,Çok az,Hiç,Orta
Orta,Biraz fazla,Orta,Çok az,Orta,Çok az,Çok az,Orta,Hiç,Hiç
Çok az,Orta,Orta,Hiç,Çok az,Çok az,Biraz fazla,Biraz fazla,Hiç,Hiç
Biraz fazla,Orta,Biraz fazla,Çok az,Biraz fazla,Çok az,Biraz fazla,Çok az,Hiç,Çok az
Biraz fazla,Çok,Orta,Çok az,Orta,Hiç,Biraz fazla,Orta,Hiç,Hiç
